Lie,Yards,PGA Tour,Scratch,5 handicap,10 handicap,15 handicap,20 handicap,25 handicap
Tee,400,3.99,4.04,4.27,4.5,4.73,4.97,5.2
Tee,420,4.02,4.07,4.3,4.53,4.76,5,5.23
Tee,440,4.08,4.13,4.36,4.59,4.82,5.06,5.29
Tee,460,4.17,4.22,4.45,4.68,4.91,5.15,5.38
Tee,480,4.28,4.33,4.56,4.79,5.02,5.26,5.49
Tee,500,4.41,4.46,4.69,4.92,5.15,5.39,5.62
Tee,520,4.54,4.59,4.82,5.05,5.28,5.52,5.75
Tee,540,4.65,4.7,4.93,5.16,5.39,5.63,5.86
Tee,560,4.74,4.79,5.02,5.25,5.48,5.72,5.95
Tee,580,4.79,4.84,5.07,5.3,5.53,5.77,6
Tee,600,4.82,4.87,5.1,5.33,5.56,5.8,6.03
Rough,20,2.59,2.62,2.76,2.9,3.05,3.19,3.33
Rough,40,2.78,2.81,2.95,3.09,3.24,3.38,3.52
Rough,60,2.91,2.94,3.08,3.22,3.37,3.51,3.65
Rough,80,2.96,2.99,3.13,3.27,3.42,3.56,3.7
Rough,100,3.02,3.05,3.19,3.33,3.48,3.62,3.76
Rough,120,3.08,3.13,3.36,3.59,3.82,4.06,4.29
Rough,140,3.15,3.2,3.43,3.66,3.89,4.13,4.36
Rough,160,3.23,3.28,3.51,3.74,3.97,4.21,4.44
Rough,180,3.31,3.36,3.59,3.82,4.05,4.29,4.52
Rough,200,3.42,3.47,3.7,3.93,4.16,4.4,4.63
Rough,220,3.53,3.58,3.81,4.04,4.27,4.51,4.74
Rough,240,3.64,3.69,3.92,4.15,4.38,4.62,4.85
Rough,260,3.74,3.79,4.02,4.25,4.48,4.72,4.95
Rough,280,3.83,3.88,4.11,4.34,4.57,4.81,5.04
Rough,300,3.9,3.95,4.18,4.41,4.64,4.88,5.11
Sand,20,2.53,2.56,2.7,2.84,2.99,3.13,3.27
Sand,40,2.82,2.85,2.99,3.13,3.28,3.42,3.56
Sand,60,3.15,3.18,3.32,3.46,3.61,3.75,3.89
Sand,80,3.24,3.27,3.41,3.55,3.7,3.84,3.98
Sand,100,3.23,3.26,3.4,3.54,3.69,3.83,3.97
Sand,120,3.21,3.26,3.49,3.72,3.95,4.19,4.42
Sand,140,3.22,3.27,3.5,3.73,3.96,4.2,4.43
Sand,160,3.28,3.33,3.56,3.79,4.02,4.26,4.49
Sand,180,3.4,3.45,3.68,3.91,4.14,4.38,4.61
Sand,200,3.55,3.6,3.83,4.06,4.29,4.53,4.76
Sand,220,3.7,3.75,3.98,4.21,4.44,4.68,4.91
Sand,240,3.84,3.89,4.12,4.35,4.58,4.82,5.05
Sand,260,3.93,3.98,4.21,4.44,4.67,4.91,5.14
Sand,280,4,4.05,4.28,4.51,4.74,4.98,5.21
Sand,300,4.04,4.09,4.32,4.55,4.78,5.02,5.25
Recovery,100,3.8,3.83,3.97,4.11,4.26,4.4,4.54
Recovery,120,3.78,3.83,4.06,4.29,4.52,4.76,4.99
Recovery,140,3.8,3.85,4.08,4.31,4.54,4.78,5.01
Recovery,160,3.81,3.86,4.09,4.32,4.55,4.79,5.02
Recovery,180,3.82,3.87,4.1,4.33,4.56,4.8,5.03
Recovery,200,3.87,3.92,4.15,4.38,4.61,4.85,5.08
Recovery,220,3.92,3.97,4.2,4.43,4.66,4.9,5.13
Recovery,240,3.97,4.02,4.25,4.48,4.71,4.95,5.18
Recovery,260,4.03,4.08,4.31,4.54,4.77,5.01,5.24
Recovery,280,4.1,4.15,4.38,4.61,4.84,5.08,5.31
Recovery,300,4.2,4.25,4.48,4.71,4.94,5.18,5.41
